"amount","denom","address"
"1_000__000_000","upenumbra","penumbrav1t15m4y8r75ww7f5spafzwxvkusd0tuqzc7ecpswnjs62plg8qg6srs6fup25hffu00s8h0d94anj52szx2g3nfklvjpjuvqyxx7mq4j4v6xqzsl0060smwzd5kldvrcqgpsjksjk"
"100","gm","penumbrav1t15m4y8r75ww7f5spafzwxvkusd0tuqzc7ecpswnjs62plg8qg6srs6fup25hffu00s8h0d94anj52szx2g3nfklvjpjuvqyxx7mq4j4v6xqzsl0060smwzd5kldvrcqgpsjksjk"
"100","cube","penumbrav1t15m4y8r75ww7f5spafzwxvkusd0tuqzc7ecpswnjs62plg8qg6srs6fup25hffu00s8h0d94anj52szx2g3nfklvjpjuvqyxx7mq4j4v6xqzsl0060smwzd5kldvrcqgpsjksjk"
"200","pizza","penumbrav1t15m4y8r75ww7f5spafzwxvkusd0tuqzc7ecpswnjs62plg8qg6srs6fup25hffu00s8h0d94anj52szx2g3nfklvjpjuvqyxx7mq4j4v6xqzsl0060smwzd5kldvrcqgpsjksjk"
"1_000__000_000","upenumbra","penumbrav1t15njdlhtj2c92yvj8a4cn6e9mg9xhvgnhdtdnd9rvnpgywp303w63d8s3023ehmflu50uftkzaq5jt3mwhc5yar99gu24dqpy4cln3hr40zzjppfydkez3mfgzx7fhhlr663yxt"
"100","gm","penumbrav1t15njdlhtj2c92yvj8a4cn6e9mg9xhvgnhdtdnd9rvnpgywp303w63d8s3023ehmflu50uftkzaq5jt3mwhc5yar99gu24dqpy4cln3hr40zzjppfydkez3mfgzx7fhhlr663yxt"
"100","cube","penumbrav1t15njdlhtj2c92yvj8a4cn6e9mg9xhvgnhdtdnd9rvnpgywp303w63d8s3023ehmflu50uftkzaq5jt3mwhc5yar99gu24dqpy4cln3hr40zzjppfydkez3mfgzx7fhhlr663yxt"
"200","pizza","penumbrav1t15njdlhtj2c92yvj8a4cn6e9mg9xhvgnhdtdnd9rvnpgywp303w63d8s3023ehmflu50uftkzaq5jt3mwhc5yar99gu24dqpy4cln3hr40zzjppfydkez3mfgzx7fhhlr663yxt"
"1_000__000_000","upenumbra","penumbrav1t15q6mkq2hee76rqvehjq4rqepggf8yn9ruv8rxpz5kmrjqryj92m2u9hdccxsygyzvy0vzmggxfll2l8jg8k02r0pyfxxpndd903pczxku5csh85np603zfmjm3f5rryw2n82gv"
"100","gm","penumbrav1t15q6mkq2hee76rqvehjq4rqepggf8yn9ruv8rxpz5kmrjqryj92m2u9hdccxsygyzvy0vzmggxfll2l8jg8k02r0pyfxxpndd903pczxku5csh85np603zfmjm3f5rryw2n82gv"
"100","cube","penumbrav1t15q6mkq2hee76rqvehjq4rqepggf8yn9ruv8rxpz5kmrjqryj92m2u9hdccxsygyzvy0vzmggxfll2l8jg8k02r0pyfxxpndd903pczxku5csh85np603zfmjm3f5rryw2n82gv"
"200","pizza","penumbrav1t15q6mkq2hee76rqvehjq4rqepggf8yn9ruv8rxpz5kmrjqryj92m2u9hdccxsygyzvy0vzmggxfll2l8jg8k02r0pyfxxpndd903pczxku5csh85np603zfmjm3f5rryw2n82gv"
"1_000__000_000","upenumbra","penumbrav1t15r77rwum4eyxuam2e4xze4pund8pv42lgu8xm05vlnnrwlju5jmccavpruw6vrk6fetawcp7s07yekjc204r5yzmqjzgnfe89mdgd9q29vvc0n07z333se0rnk4lw6dyszjv8f"
"100","gm","penumbrav1t15r77rwum4eyxuam2e4xze4pund8pv42lgu8xm05vlnnrwlju5jmccavpruw6vrk6fetawcp7s07yekjc204r5yzmqjzgnfe89mdgd9q29vvc0n07z333se0rnk4lw6dyszjv8f"
"100","cube","penumbrav1t15r77rwum4eyxuam2e4xze4pund8pv42lgu8xm05vlnnrwlju5jmccavpruw6vrk6fetawcp7s07yekjc204r5yzmqjzgnfe89mdgd9q29vvc0n07z333se0rnk4lw6dyszjv8f"
"200","pizza","penumbrav1t15r77rwum4eyxuam2e4xze4pund8pv42lgu8xm05vlnnrwlju5jmccavpruw6vrk6fetawcp7s07yekjc204r5yzmqjzgnfe89mdgd9q29vvc0n07z333se0rnk4lw6dyszjv8f"
"1_000__000_000","upenumbra","penumbrav1t15tjf82sjcq5vezxy339gtj3zvkwvhnpjek63mx4sjfccaa2xfmhal697y4azm54tyr2rwrw8lew0k8z06qrkfx34mcqfxkrcnevv92ay4m5f8lexq4e6afhx2fu2zpy2ln8ej8"
"100","gm","penumbrav1t15tjf82sjcq5vezxy339gtj3zvkwvhnpjek63mx4sjfccaa2xfmhal697y4azm54tyr2rwrw8lew0k8z06qrkfx34mcqfxkrcnevv92ay4m5f8lexq4e6afhx2fu2zpy2ln8ej8"
"100","cube","penumbrav1t15tjf82sjcq5vezxy339gtj3zvkwvhnpjek63mx4sjfccaa2xfmhal697y4azm54tyr2rwrw8lew0k8z06qrkfx34mcqfxkrcnevv92ay4m5f8lexq4e6afhx2fu2zpy2ln8ej8"
"200","pizza","penumbrav1t15tjf82sjcq5vezxy339gtj3zvkwvhnpjek63mx4sjfccaa2xfmhal697y4azm54tyr2rwrw8lew0k8z06qrkfx34mcqfxkrcnevv92ay4m5f8lexq4e6afhx2fu2zpy2ln8ej8"
"1_000__000_000","upenumbra","penumbrav1t15weuqhh0dm4ksx0uj6elmtf42c5gvjrlk47z5xs00v5m7t8shx5mjdnfsh2qrmdz92ast7a5qluvv0nax04faae9j85rlcphwsgnqn9j3mvklnn4xhjdgq2g6ucwkpzzsjdcuj"
"100","gm","penumbrav1t15weuqhh0dm4ksx0uj6elmtf42c5gvjrlk47z5xs00v5m7t8shx5mjdnfsh2qrmdz92ast7a5qluvv0nax04faae9j85rlcphwsgnqn9j3mvklnn4xhjdgq2g6ucwkpzzsjdcuj"
